dia,codigo,conducao
2023-11-28,2,0
2023-11-29,1,0
2023-11-30,1,0
2023-12-04,1,0
2023-12-05,1,0
2023-12-06,1,0
2023-12-07,4,0
2023-12-09,1,0
2023-12-10,1,0
2023-12-12,0,2
2023-12-13,0,1
2023-12-14,0,1
2023-12-15,0,2
2023-12-16,1,0
2023-12-17,2,0
2023-12-18,4,2
2023-12-19,1,0
2023-12-20,0,2
2023-12-21,0,1
2023-12-22,0,1
2024-01-04,0,2
2024-01-09,1,2
2024-01-11,1,0
2024-01-15,1,0
2024-01-16,1,0
2024-01-17,1,0
2024-01-18,1,0
2024-01-19,1,0
